"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"EOD - eBird Observation Dataset",,23369565,151089538,0.15,527,"Cornell Lab of Ornithology","US","IPT - Hosted by VertNet at iDigBio","U.S. Geological Survey"
"Artdata",,8592103,39494133,0.22,2435,"ArtDatabanken","SE","IPT GBIF-Sweden","GBIF Sweden"
"Norwegian Species Observation Service",,3737077,12253548,0.30,917,"The Norwegian Biodiversity Information Centre (NBIC)","NO","gbif.no","GBIF Norway"
"Tiira information service",,3310762,12286529,0.27,166,"Birdlife Finland","FI","TAPIR Installation","GBIF Finland"
"NMNH occurrence DwC-A",,1252194,4360072,0.29,88936,"National Museum of Natural History, Smithsonian Institution","US","NMNH IPT","U.S. Geological Survey"
"Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast",,1181274,1181274,1.00,2,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"DOF",,1093044,2975350,0.37,172,"Danish Ornithological Society","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Fishbase",,878897,1211853,0.73,16297,"FishBase","SE","IPT GBIF-Sweden","Ocean Biogeographic Information System (OBIS)"
"Continuous Plankton Recorder Dataset (SAHFOS)",,867233,911800,0.95,315,"Sir Alister Hardy Foundation for Ocean Science (SAHFOS)","GB","Continuous Plankton Recorder Data","National Biodiversity Network"
"Australian Museum provider for OZCAM",,847925,1813049,0.47,31993,"Australian Museum","AU","ALA.org.au","Atlas of Living Australia"
"OEH Atlas of NSW Wildlife",,841791,7696309,0.11,247,"Office of Environment and Heritage, Department of Premier and Cabinet representing the State of New South Wales","AU","ALA.org.au","Atlas of Living Australia"
"SEAMAP - marine mammals, birds and turtles",t,706949,743626,0.95,343,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica",,645653,2558688,0.25,1241,"Dutch Foundation for Applied Water Research","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"NODC WOD01 Plankton Database",t,625630,646428,0.97,2138,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Geographically tagged INSDC sequences",,538878,4479782,0.12,9399,"European Molecular Biology Laboratory (EMBL)","GB","EBI HTTP installation","National Biodiversity Network"
"Southern African Bird Atlas Project",,532010,5016748,0.11,137,"South African National Biodiversity Institute","ZA","TAPIR Installation","South African Biodiversity Information Facility"
"naturgucker",,528582,4246432,0.12,1738,"naturgucker.de","DE","naturgucker.de BioCASE installation","GBIF Germany"
"Joint Nature Conservation Committee - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC",,485858,486795,1.00,2944,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"KTP Ring Data",,480819,480819,1.00,13,"Copenhagen Bird Ringing Centre, Zoological Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"BirdLife Australia, Birdata",,478256,7273616,0.07,174,"Birds Australia","AU","ALA.org.au","Atlas of Living Australia"
"Museum of Comparative Zoology, Harvard University",,462431,1495474,0.31,36501,"Museum of Comparative Zoology, Harvard University","US","Museum of Comparative Zoology, Harvard University","U.S. Geological Survey"
"ECNASAP - East Coast North America Strategic Assessment (OBIS Canada)",t,440070,440070,1.00,270,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Royal Dutch Angling Association (SVN) - Piscaria",,429934,466943,0.92,64,"Royal Dutch Angling Association","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"Natural History Museum (London) Collection Specimens",,405056,1524452,0.27,73969,"Natural History Museum","GB","Natural History Museum","National Biodiversity Network"
"invertebratezoology",,404027,604568,0.67,18741,"Florida Museum of Natural History","US","Florida Museum of Natural History IPT Service","U.S. Geological Survey"
"DOF 2001-2006",,370128,1096267,0.34,129,"Danish Ornithological Society","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Bird Ringing Centre in Sweden (NRM)",,369831,4852502,0.08,92,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Continuous Plankton Recorder database",t,368095,430555,0.85,126,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"``South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System``",t,363065,363193,1.00,410,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Naturalis Biodiversity Center (NL) - Mollusca",,350125,492426,0.71,17047,"Naturalis Biodiversity Center","NL","Naturalis HTTP installation","Netherlands Biodiversity Information Facility"
